sample_id,hostname,instant_offset_sec,last_offset_sec,jitter_sec
82,compute-0-1,0.000000133,+0.000000140,0.000000202
82,compute-0-2,0.000000001,-0.000000938,0.000000391
82,compute-0-3,0.000000031,-0.000000033,0.000000616
83,compute-0-0,0.000000019,+0.000000004,0.000000379
83,compute-0-1,0.000000000,+0.000000140,0.000000202
83,compute-0-2,0.000000001,-0.000000938,0.000000391
83,compute-0-3,0.000000026,-0.000000033,0.000000616
84,compute-0-0,0.000000016,+0.000000004,0.000000379
84,compute-0-1,0.000000061,-0.000000165,0.000000198
84,compute-0-2,0.000000038,-0.000000055,0.000000371
84,compute-0-3,0.000000080,-0.000000112,0.000000585
85,compute-0-0,0.000000023,-0.000000011,0.000000360
85,compute-0-1,0.000000028,+0.000000030,0.000000188
85,compute-0-2,0.000000035,-0.000000009,0.000000352
85,compute-0-3,0.000000035,+0.000000037,0.000000555
86,compute-0-0,0.000000011,+0.000000009,0.000000341
86,compute-0-1,0.000000024,+0.000000030,0.000000188
86,compute-0-2,0.000000041,-0.000000015,0.000000334
86,compute-0-3,0.000000029,+0.000000037,0.000000555
87,compute-0-0,0.000000010,+0.000000009,0.000000341
87,compute-0-1,0.000000030,+0.000000012,0.000000179
87,compute-0-2,0.000000031,-0.000000015,0.000000334
87,compute-0-3,0.000000073,+0.000000100,0.000000528
88,compute-0-0,0.000000029,-0.000000041,0.000000324
88,compute-0-1,0.000000067,-0.000000109,0.000000173
88,compute-0-2,0.000000009,+0.000000018,0.000000317
88,compute-0-3,0.000000019,+0.000000007,0.000000501
89,compute-0-0,0.000000002,+0.000000015,0.000000307
89,compute-0-1,0.000000626,-0.000000596,0.000000250
89,compute-0-2,0.000000122,+0.000000136,0.000000304
89,compute-0-3,0.000000017,+0.000000007,0.000000501
90,compute-0-0,0.000000002,+0.000000015,0.000000307
90,compute-0-1,0.000000001,-0.000000596,0.000000250
90,compute-0-2,0.000000041,+0.000000136,0.000000304
90,compute-0-3,0.000000034,+0.000000025,0.000000475
91,compute-0-0,0.000000016,+0.000000022,0.000000292
91,compute-0-1,0.000000001,+0.000001131,0.000000429
91,compute-0-2,0.000000066,-0.000000198,0.000000295
91,compute-0-3,0.000000004,-0.000000031,0.000000451
92,compute-0-0,0.000000024,+0.000000013,0.000000277
92,compute-0-1,0.000000261,-0.000000284,0.000000417
92,compute-0-2,0.000000000,+0.000000000,0.000000280
92,compute-0-3,0.000000004,-0.000000031,0.000000451
93,compute-0-0,0.000000038,+0.000000022,0.000000263
93,compute-0-1,0.000000000,-0.000000284,0.000000417
93,compute-0-2,0.000000000,+0.000000000,0.000000280
93,compute-0-3,0.000000026,-0.000000029,0.000000428
