sample_id,hostname,instant_offset_sec,last_offset_sec,jitter_sec
65,compute-0-0,0.000000108,+0.000000190,0.000000450
65,compute-0-1,0.000000155,-0.000000581,0.000001171
65,compute-0-2,0.000000386,-0.000000373,0.000000364
65,compute-0-3,0.000000712,+0.000000980,0.000001688
66,compute-0-0,0.000000115,-0.000000246,0.000000434
66,compute-0-1,0.000000317,-0.000000347,0.000001116
66,compute-0-2,0.000000396,-0.000000152,0.000000349
66,compute-0-3,0.000000001,+0.000000980,0.000001688
67,compute-0-0,0.000000049,+0.000000030,0.000000412
67,compute-0-1,0.000000023,+0.000000256,0.000001062
67,compute-0-2,0.000000462,-0.000000193,0.000000336
67,compute-0-3,0.000000068,+0.000000072,0.000001601
68,compute-0-0,0.000000044,+0.000000030,0.000000412
68,compute-0-1,0.000000023,+0.000000256,0.000001062
68,compute-0-2,0.000000333,-0.000000193,0.000000336
68,compute-0-3,0.000000099,+0.000000037,0.000001519
69,compute-0-0,0.000000128,+0.000000211,0.000000396
69,compute-0-1,0.000000061,+0.000000042,0.000001008
69,compute-0-2,0.000000423,-0.000000245,0.000000328
69,compute-0-3,0.000000549,+0.000000467,0.000001449
70,compute-0-0,0.000000104,+0.000000008,0.000000376
70,compute-0-1,0.000000013,-0.000000046,0.000000956
70,compute-0-2,0.000000208,+0.000000115,0.000000314
70,compute-0-3,0.000000353,+0.000000467,0.000001449
71,compute-0-0,0.000000086,+0.000000008,0.000000376
71,compute-0-1,0.000000088,+0.000000075,0.000000907
71,compute-0-2,0.000000184,+0.000000115,0.000000314
71,compute-0-3,0.000000331,+0.000000113,0.000001375
72,compute-0-0,0.000000094,+0.000000025,0.000000357
72,compute-0-1,0.000000081,+0.000000075,0.000000907
72,compute-0-2,0.000000126,+0.000000049,0.000000298
72,compute-0-3,0.000000586,-0.000000868,0.000001333
73,compute-0-0,0.000000255,+0.000000578,0.000000385
73,compute-0-1,0.000000077,+0.000000002,0.000000861
73,compute-0-2,0.000000012,-0.000012348,0.000003915
73,compute-0-3,0.000000367,-0.000000868,0.000001333
74,compute-0-0,0.000000070,+0.000000071,0.000000365
74,compute-0-1,0.000000188,+0.000000120,0.000000817
74,compute-0-2,0.000004599,+0.000005252,0.000004068
74,compute-0-3,0.000000258,+0.000000005,0.000001264
75,compute-0-0,0.000000057,+0.000000071,0.000000365
75,compute-0-1,0.000000155,+0.000000120,0.000000817
75,compute-0-2,0.000000004,+0.000005252,0.000004068
75,compute-0-3,0.000000275,-0.000000066,0.000001200
76,compute-0-0,0.000000035,-0.000000015,0.000000347
76,compute-0-1,0.000000417,+0.000000510,0.000000792
76,compute-0-2,0.000000212,-0.000000222,0.000003860
76,compute-0-3,0.000000226,-0.000000066,0.000001200
77,compute-0-0,0.000000044,+0.000000014,0.000000329
77,compute-0-1,0.000000002,-0.000000149,0.000000753
77,compute-0-2,0.000000737,-0.000000581,0.000003667
77,compute-0-3,0.000000535,-0.000000584,0.000001153
78,compute-0-0,0.000000038,+0.000000014,0.000000329
78,compute-0-1,0.000000003,-0.000000149,0.000000753
78,compute-0-2,0.000000462,-0.000000581,0.000003667
78,compute-0-3,0.000000377,-0.000000127,0.000001095
79,compute-0-0,0.000000084,-0.000000143,0.000000315
79,compute-0-1,0.000000128,-0.000000139,0.000000716
79,compute-0-2,0.000000313,+0.000000019,0.000003479
79,compute-0-3,0.000000278,-0.000000127,0.000001095
80,compute-0-0,0.000000081,-0.000000026,0.000000299
80,compute-0-1,0.000000496,-0.000000506,0.000000698
80,compute-0-2,0.000000708,+0.000001050,0.000003317
80,compute-0-3,0.000000111,+0.000000142,0.000001039
81,compute-0-0,0.000000060,-0.000000026,0.000000299
81,compute-0-1,0.000000156,-0.000000506,0.000000698
81,compute-0-2,0.000000405,+0.000001050,0.000003317
81,compute-0-3,0.000000147,-0.000000046,0.000000986
82,compute-0-0,0.000000034,+0.000000094,0.000000285
82,compute-0-1,0.000000092,+0.000000026,0.000000662
82,compute-0-2,0.000000155,-0.000000509,0.000003151
82,compute-0-3,0.000000132,-0.000000046,0.000000986
83,compute-0-0,0.000000137,+0.000000136,0.000000274
83,compute-0-1,0.000000137,-0.000000060,0.000000628
83,compute-0-2,0.000000010,+0.000000153,0.000002989
83,compute-0-3,0.000000197,-0.000000097,0.000000936
84,compute-0-0,0.000000055,+0.000000136,0.000000274
84,compute-0-1,0.000000311,-0.000000196,0.000000599
84,compute-0-2,0.000000010,+0.000000153,0.000002989
84,compute-0-3,0.000000315,-0.000000176,0.000000890
85,compute-0-0,0.000000087,+0.000000083,0.000000262
85,compute-0-1,0.000000212,-0.000000196,0.000000599
85,compute-0-2,0.000000059,-0.000000071,0.000002836
85,compute-0-3,0.000000376,-0.000000146,0.000000845
86,compute-0-0,0.000000220,+0.000000408,0.000000280
86,compute-0-1,0.000000534,+0.000001823,0.000000809
86,compute-0-2,0.000000292,-0.000000270,0.000002692
86,compute-0-3,0.000000280,-0.000000146,0.000000845
87,compute-0-0,0.000000686,+0.000001772,0.000000620
87,compute-0-1,0.000000061,-0.000000061,0.000000768
87,compute-0-2,0.000000212,-0.000000270,0.000002692
87,compute-0-3,0.000000373,-0.000000209,0.000000805
88,compute-0-0,0.000000001,+0.000001772,0.000000620
88,compute-0-1,0.000000058,-0.000000061,0.000000768
88,compute-0-2,0.000000276,-0.000000172,0.000002554
88,compute-0-3,0.000000409,-0.000000166,0.000000765
89,compute-0-0,0.000000000,+0.000000809,0.000000641
89,compute-0-1,0.000000054,+0.000000001,0.000000729
89,compute-0-2,0.000000168,+0.000000044,0.000002423
89,compute-0-3,0.000000289,-0.000000166,0.000000765
90,compute-0-0,0.000000054,-0.000000061,0.000000609
90,compute-0-1,0.000000345,+0.000000419,0.000000704
90,compute-0-2,0.000000257,-0.000000118,0.000002299
90,compute-0-3,0.000000336,-0.000000173,0.000000728
91,compute-0-0,0.000000009,-0.000000061,0.000000609
91,compute-0-1,0.000000250,+0.000000419,0.000000704
91,compute-0-2,0.000000205,-0.000000118,0.000002299
91,compute-0-3,0.000000294,-0.000000073,0.000000691
92,compute-0-0,0.000000008,-0.000000009,0.000000578
92,compute-0-1,0.000000429,+0.000000425,0.000000681
92,compute-0-2,0.000000128,+0.000000051,0.000002181
92,compute-0-3,0.000000223,-0.000000073,0.000000691
93,compute-0-0,0.000000061,-0.000000071,0.000000548
93,compute-0-1,0.000001109,+0.000001392,0.000000782
93,compute-0-2,0.000000094,+0.000000022,0.000002069
93,compute-0-3,0.000000154,+0.000000379,0.000000666
94,compute-0-0,0.000000008,-0.000000071,0.000000548
94,compute-0-1,0.000000001,+0.000001392,0.000000782
94,compute-0-2,0.000000086,+0.000000022,0.000002069
94,compute-0-3,0.000000359,+0.000000258,0.000000637
95,compute-0-0,0.000000046,+0.000000097,0.000000521
95,compute-0-1,0.000000006,+0.000005918,0.000002013
95,compute-0-2,0.000000085,+0.000000175,0.000001964
95,compute-0-3,0.000000239,+0.000000258,0.000000637
96,compute-0-0,0.000000001,-0.000001173,0.000000618
96,compute-0-1,0.000000819,+0.000000938,0.000001933
96,compute-0-2,0.000000074,-0.000000004,0.000001863
96,compute-0-3,0.000000168,-0.000000030,0.000000605
97,compute-0-0,0.000000001,-0.000001173,0.000000618
97,compute-0-1,0.000000555,+0.000000938,0.000001933
97,compute-0-2,0.000000069,-0.000000004,0.000001863
97,compute-0-3,0.000000439,+0.000000373,0.000000586
98,compute-0-0,0.000000004,+0.000000003,0.000000586
98,compute-0-1,0.000000509,+0.000000080,0.000001834
98,compute-0-2,0.000000047,-0.000000117,0.000001768
98,compute-0-3,0.000000223,+0.000000373,0.000000586
