sample_id,hostname,instant_offset_sec,last_offset_sec,jitter_sec
58,compute-0-0,0.000000000,-0.000000861,0.000001343
58,compute-0-1,0.000000003,-0.000000003,0.000000319
58,compute-0-2,0.000000001,+0.000000947,0.000000600
58,compute-0-3,0.000000040,-0.000000164,0.000000935
59,localhost,0.000000075,-0.000000036,0.000000104
59,compute-0-0,0.000000000,-0.000000861,0.000001343
59,compute-0-1,0.000000003,-0.000000003,0.000000319
59,compute-0-2,0.000000389,-0.000000440,0.000000586
59,compute-0-3,0.000000121,-0.000000142,0.000000888
60,localhost,0.000000019,-0.000000036,0.000000104
60,compute-0-0,0.000000114,+0.000000122,0.000001275
60,compute-0-1,0.000000001,+0.000000697,0.000000375
60,compute-0-2,0.000000000,-0.000000440,0.000000586
60,compute-0-3,0.000000055,-0.000000142,0.000000888
61,localhost,0.000000030,-0.000000021,0.000000099
61,compute-0-0,0.000000154,+0.000000075,0.000001210
61,compute-0-1,0.000000166,+0.000000759,0.000000429
61,compute-0-2,0.000000123,+0.000000162,0.000000559
61,compute-0-3,0.000000000,-0.000000142,0.000000888
62,localhost,0.000000001,-0.000000677,0.000000234
62,compute-0-0,0.000000065,+0.000000075,0.000001210
62,compute-0-1,0.000000001,+0.000000206,0.000000412
62,compute-0-2,0.000000066,+0.000000162,0.000000559
62,compute-0-3,0.000000335,-0.000000871,0.000000886
63,localhost,0.000000042,+0.000000042,0.000000222
63,compute-0-0,0.000000000,+0.000000075,0.000001210
63,compute-0-1,0.000000043,-0.000000052,0.000000372
63,compute-0-2,0.000000010,+0.000000162,0.000000559
63,compute-0-3,0.000000068,+0.000000068,0.000000841
64,localhost,0.000000037,+0.000000042,0.000000222
64,compute-0-0,0.000000223,+0.000000275,0.000001151
64,compute-0-1,0.000000013,-0.000000052,0.000000372
64,compute-0-2,0.000000207,+0.000000394,0.000000544
64,compute-0-3,0.000000048,+0.000000068,0.000000841
65,localhost,0.000000057,+0.000000029,0.000000211
65,compute-0-0,0.000000116,+0.000000275,0.000001151
65,compute-0-1,0.000000124,+0.000000284,0.000000364
65,compute-0-2,0.000000038,-0.000000046,0.000000517
65,compute-0-3,0.000000029,+0.000000068,0.000000841
