sample_id,hostname,instant_offset_sec,last_offset_sec,jitter_sec
18,compute-0-0,0.000000029,+0.000176926,0.000197347
18,compute-0-1,0.000070761,+0.000072720,0.000104072
18,compute-0-2,0.000000017,+0.000095597,0.000052689
18,compute-0-3,0.000000046,+0.000144786,0.000113489
121,localhost,0.000275966,+0.000282645,0.002291563
121,compute-0-0,0.000000029,+0.000176926,0.000197347
121,compute-0-1,0.000053382,+0.000072720,0.000104072
121,compute-0-2,0.000000018,+0.000095597,0.000052689
121,compute-0-3,0.000022216,+0.000022407,0.000107898
19,localhost,0.000274770,+0.000282645,0.002291563
19,compute-0-0,0.000000029,+0.000176926,0.000197347
19,compute-0-1,0.000050573,+0.000072720,0.000104072
19,compute-0-2,0.000000018,+0.000095597,0.000052689
19,compute-0-3,0.000022032,+0.000022407,0.000107898
122,localhost,0.000267409,+0.000282645,0.002291563
122,compute-0-0,0.000000029,+0.000176926,0.000197347
122,compute-0-1,0.000033135,+0.000072720,0.000104072
122,compute-0-2,0.000074504,+0.000087055,0.000057065
122,compute-0-3,0.000020906,+0.000022407,0.000107898
20,localhost,0.000266206,+0.000282645,0.002291563
20,compute-0-0,0.000072839,+0.000072924,0.000188635
20,compute-0-1,0.000030337,+0.000072720,0.000104072
20,compute-0-2,0.000070426,+0.000087055,0.000057065
20,compute-0-3,0.000020725,+0.000022407,0.000107898
123,localhost,0.000258823,+0.000282645,0.002291563
123,compute-0-0,0.000056389,+0.000072924,0.000188635
123,compute-0-1,0.000012883,+0.000072720,0.000104072
123,compute-0-2,0.000044936,+0.000087055,0.000057065
123,compute-0-3,0.000019596,+0.000022407,0.000107898
21,localhost,0.000257637,+0.000282645,0.002291563
21,compute-0-0,0.000053742,+0.000072924,0.000188635
21,compute-0-1,0.000010089,+0.000072720,0.000104072
21,compute-0-2,0.000040842,+0.000087055,0.000057065
21,compute-0-3,0.000019414,+0.000022407,0.000107898
124,localhost,0.000250238,+0.000282645,0.002291563
124,compute-0-0,0.000037244,+0.000072924,0.000188635
124,compute-0-1,0.000000008,+0.000072720,0.000104072
124,compute-0-2,0.000015360,+0.000087055,0.000057065
124,compute-0-3,0.000018286,+0.000022407,0.000107898
22,localhost,0.000249045,+0.000282645,0.002291563
22,compute-0-0,0.000034573,+0.000072924,0.000188635
22,compute-0-1,0.000000008,+0.000072720,0.000104072
22,compute-0-2,0.000011228,+0.000087055,0.000057065
22,compute-0-3,0.000018104,+0.000022407,0.000107898
125,localhost,0.000241647,+0.000282645,0.002291563
125,compute-0-0,0.000018124,+0.000072924,0.000188635
125,compute-0-1,0.000000008,+0.000072720,0.000104072
125,compute-0-2,0.000000011,+0.000087055,0.000057065
125,compute-0-3,0.000016977,+0.000022407,0.000107898
23,localhost,0.000452644,+0.000213456,0.002175015
23,compute-0-0,0.000015425,+0.000072924,0.000188635
23,compute-0-1,0.000000008,+0.000072720,0.000104072
23,compute-0-2,0.000000011,+0.000087055,0.000057065
23,compute-0-3,0.000016795,+0.000022407,0.000107898
126,localhost,0.000436506,+0.000213456,0.002175015
126,compute-0-0,0.000000014,+0.000072924,0.000188635
126,compute-0-1,0.000090649,+0.000101310,0.000103799
126,compute-0-2,0.000000011,+0.000087055,0.000057065
126,compute-0-3,0.000015671,+0.000022407,0.000107898
24,localhost,0.000433895,+0.000213456,0.002175015
24,compute-0-0,0.000000014,+0.000072924,0.000188635
24,compute-0-1,0.000085224,+0.000101310,0.000103799
24,compute-0-2,0.000000011,+0.000087055,0.000057065
24,compute-0-3,0.000015486,+0.000022407,0.000107898
127,localhost,0.000417800,+0.000213456,0.002175015
127,compute-0-0,0.000000014,+0.000072924,0.000188635
127,compute-0-1,0.000052177,+0.000101310,0.000103799
127,compute-0-2,0.000000011,+0.000087055,0.000057065
127,compute-0-3,0.000048885,+0.000037471,0.000103044
25,localhost,0.000415148,+0.000213456,0.002175015
25,compute-0-0,0.000000014,+0.000072924,0.000188635
25,compute-0-1,0.000046794,+0.000101310,0.000103799
25,compute-0-2,0.000000011,+0.000087055,0.000057065
25,compute-0-3,0.000047853,+0.000037471,0.000103044
128,localhost,0.000399036,+0.000213456,0.002175015
