sample_id,time,hostname,offset_ns,jitter_ns
42,2026-09-04 18:31:45,compute-0-1,68.0,52.000
42,2026-09-04 18:31:46,compute-0-2,50.0,72.000
42,2026-09-04 18:31:46,compute-0-3,38.0,86.000
43,2026-09-04 18:31:56,compute-0-1,11.0,57.000
43,2026-09-04 18:31:57,compute-0-2,-10.0,60.000
43,2026-09-04 18:31:57,compute-0-3,10.0,28.000
44,2026-09-04 18:32:08,compute-0-1,23.0,12.000
44,2026-09-04 18:32:08,compute-0-2,5.0,15.000
44,2026-09-04 18:32:08,compute-0-3,18.0,8.000
45,2026-09-04 18:32:19,compute-0-1,-8.0,31.000
45,2026-09-04 18:32:19,compute-0-2,-103.0,108.000
45,2026-09-04 18:32:19,compute-0-3,-82.0,100.000
46,2026-09-04 18:32:30,compute-0-1,60.0,68.000
46,2026-09-04 18:32:30,compute-0-2,64.0,167.000
46,2026-09-04 18:32:30,compute-0-3,27.0,109.000
47,2026-09-04 18:32:41,compute-0-1,3.0,57.000
47,2026-09-04 18:32:41,compute-0-2,-40.0,104.000
47,2026-09-04 18:32:42,compute-0-3,-49.0,76.000
48,2026-09-04 18:32:53,compute-0-1,24.0,21.000
48,2026-09-04 18:32:53,compute-0-2,10.0,50.000
48,2026-09-04 18:32:54,compute-0-3,-32.0,17.000
49,2026-09-04 18:33:04,compute-0-1,-61.0,85.000
49,2026-09-04 18:33:04,compute-0-2,-49.0,59.000
49,2026-09-04 18:33:05,compute-0-3,69.0,101.000
50,2026-09-04 18:33:15,compute-0-1,-32.0,29.000
50,2026-09-04 18:33:16,compute-0-2,-27.0,22.000
50,2026-09-04 18:33:16,compute-0-3,-77.0,146.000
51,2026-09-04 18:33:26,compute-0-1,66.0,98.000
51,2026-09-04 18:33:27,compute-0-2,61.0,88.000
51,2026-09-04 18:33:27,compute-0-3,28.0,105.000
52,2026-09-04 18:33:38,compute-0-1,-25.0,91.000
52,2026-09-04 18:33:38,compute-0-2,9.0,52.000
52,2026-09-04 18:33:38,compute-0-3,-57.0,85.000
53,2026-09-04 18:33:49,compute-0-1,0.0,25.000
53,2026-09-04 18:33:49,compute-0-2,-40.0,49.000
53,2026-09-04 18:33:49,compute-0-3,79.0,136.000
54,2026-09-04 18:34:00,compute-0-1,-71.0,71.000
54,2026-09-04 18:34:00,compute-0-2,39.0,79.000
54,2026-09-04 18:34:01,compute-0-3,79.0,0.000
55,2026-09-04 18:34:11,compute-0-1,44.0,115.000
55,2026-09-04 18:34:11,compute-0-2,14.0,25.000
55,2026-09-04 18:34:12,compute-0-3,-14.0,93.000
56,2026-09-04 18:34:22,compute-0-1,-59.0,103.000
56,2026-09-04 18:34:22,compute-0-2,-78.0,92.000
56,2026-09-04 18:34:23,compute-0-3,-111.0,97.000
57,2026-09-04 18:34:33,compute-0-1,32.0,91.000
57,2026-09-04 18:34:33,compute-0-2,33.0,111.000
57,2026-09-04 18:34:34,compute-0-3,19.0,130.000
58,2026-09-04 18:34:44,compute-0-1,8.0,24.000
58,2026-09-04 18:34:45,compute-0-2,-11.0,44.000
58,2026-09-04 18:34:45,compute-0-3,-23.0,42.000
59,2026-09-04 18:34:55,compute-0-1,-59.0,67.000
59,2026-09-04 18:34:56,compute-0-2,99.0,110.000
59,2026-09-04 18:34:56,compute-0-3,52.0,75.000
60,2026-09-04 18:35:06,compute-0-1,44.0,103.000
60,2026-09-04 18:35:07,compute-0-2,44.0,55.000
60,2026-09-04 18:35:07,compute-0-3,0.0,52.000
61,2026-09-04 18:35:18,compute-0-1,63.0,19.000
61,2026-09-04 18:35:18,compute-0-2,50.0,6.000
61,2026-09-04 18:35:18,compute-0-3,66.0,66.000
62,2026-09-04 18:35:29,compute-0-1,1.0,62.000
62,2026-09-04 18:35:29,compute-0-2,10.0,40.000
62,2026-09-04 18:35:29,compute-0-3,-9.0,75.000
63,2026-09-04 18:35:40,compute-0-1,-54.0,55.000
63,2026-09-04 18:35:40,compute-0-2,70.0,60.000
63,2026-09-04 18:35:41,compute-0-3,75.0,84.000
64,2026-09-04 18:35:51,compute-0-1,50.0,104.000
64,2026-09-04 18:35:51,compute-0-2,39.0,31.000
64,2026-09-04 18:35:52,compute-0-3,5.0,70.000
65,2026-09-04 18:36:02,compute-0-1,5.0,45.000
65,2026-09-04 18:36:02,compute-0-2,-52.0,91.000
65,2026-09-04 18:36:03,compute-0-3,-79.0,84.000
66,2026-09-04 18:36:13,compute-0-1,31.0,26.000
66,2026-09-04 18:36:14,compute-0-2,-8.0,44.000
66,2026-09-04 18:36:14,compute-0-3,-55.0,24.000
67,2026-09-04 18:36:24,compute-0-1,-58.0,89.000
67,2026-09-04 18:36:25,compute-0-2,-73.0,65.000
67,2026-09-04 18:36:25,compute-0-3,-66.0,11.000
68,2026-09-04 18:36:36,compute-0-1,65.0,123.000
68,2026-09-04 18:36:36,compute-0-2,49.0,122.000
68,2026-09-04 18:36:36,compute-0-3,51.0,117.000
69,2026-09-04 18:36:47,compute-0-1,25.0,40.000
69,2026-09-04 18:36:47,compute-0-2,36.0,13.000
69,2026-09-04 18:36:47,compute-0-3,-41.0,92.000
70,2026-09-04 18:36:58,compute-0-1,44.0,19.000
70,2026-09-04 18:36:58,compute-0-2,3.0,33.000
70,2026-09-04 18:36:59,compute-0-3,-32.0,9.000
71,2026-09-04 18:37:09,compute-0-1,-40.0,84.000
71,2026-09-04 18:37:09,compute-0-2,-68.0,71.000
71,2026-09-04 18:37:10,compute-0-3,-77.0,45.000
72,2026-09-04 18:37:20,compute-0-1,-86.0,46.000
72,2026-09-04 18:37:20,compute-0-2,79.0,147.000
72,2026-09-04 18:37:21,compute-0-3,58.0,135.000
73,2026-09-04 18:37:31,compute-0-1,45.0,131.000
73,2026-09-04 18:37:31,compute-0-2,39.0,40.000
